,Company_Brand,Sector,Stage,Funding_Year,Amount($),HeadQuarter,Year_Founded,Sector_group
1376,Yap,Fintech,Series (A-H),2020,4500000.0,Chennai,Unknown,Technology
1377,UzhavarBumi,Dairy,Unknown,2020,121526423.72,Tamil Nadu,2017.0,Other
1378,Tattva,Beauty & wellness,Unknown,2020,150000.0,Delhi,2018.0,Healthcare
1379,Pariksha,Edtech,Early Stage,2020,121526423.72,Pune,2015.0,Technology
1380,DailyHunt,Media,Unknown,2020,24000000.0,nan,Unknown,Other
1381,NoBroker,Real Estate,Unknown,2020,30000000.0,Bangalore,2014.0,Real Estate & Property
1382,Box8,Foodtech,Unknown,2020,4000000.0,Mumbai,2011.0,Technology
1383,Capital Float,Fintech,Unknown,2020,15000000.0,Bangalore,2013.0,Technology
1384,ITILITE,Travel & SaaS,Series (A-H),2020,13000000.0,Bangalore,Unknown,Other
1385,Morning Context,Digital Media,Early Stage,2020,121526423.72,nan,Unknown,Other
1386,Aavenir,SaaS,Early Stage,2020,2000000.0,Ahmedabad,2019.0,Other
1387,Savvy Co op,Healthcare,Unknown,2020,121526423.72,nan,Unknown,Healthcare
1388,BLive,Tourism & EV,Early Stage,2020,121526423.72,nan,2018.0,Other
1389,Yellow Messenger,AI,Series (A-H),2020,20000000.0,Bangalore,Unknown,Other
1390,Toch,Media Tech,Unknown,2020,400000.0,nan,Unknown,Technology
1391,Ewar,Gaming,Unknown,2020,200000.0,Bangalore,Unknown,Other
1392,Setu,Fintech,Series (A-H),2020,14259000.0,nan,Unknown,Technology
1393,Wellthy Therapeutics,Healthtech,Early Stage,2020,4000000.0,Bangalore,Unknown,Technology
1394,Power Gummies,Health,Unknown,2020,121526423.72,Delhi,2018.0,Healthcare
1395,Locale ai,Location Analytics,Unknown,2020,121526423.72,Bangalore,2019.0,Other
1396,FarEye,Logistics,Series (A-H),2020,24500000.0,Delhi,Unknown,Autommotive & Transportation
1397,Rebel Foods,Food tech,Unknown,2020,50000000.0,nan,Unknown,Technology
1398,BankBazaar,Fintech,Series (A-H),2020,3800000.0,Chennai,2008.0,Technology
1399,Porter,Logistics,Series (A-H),2020,18370000.0,Mumbai,2014.0,Autommotive & Transportation
1400,SugarBox,Tech,Unknown,2020,68525000.0,Mumbai,Unknown,Technology
1401,Capital Float,Fintech,Series (A-H),2020,4800000.0,Bangalore,2013.0,Technology
1402,Big Basket,E store,Unknown,2020,60000000.0,Bangalore,Unknown,Other
1403,Amica,Fintech,Unknown,2020,2000000.0,nan,Unknown,Technology
1404,Vedantu,Edtech,Series (A-H),2020,12500000.0,Bangalore,Unknown,Technology
1405,Fingerlix,Food,Unknown,2020,1834000.0,nan,2016.0,Food & Agriculture
1406,Plop,Tech,Angel and Grants,2020,121526423.72,Mumbai,Unknown,Technology
1407,Zupee,Gaming,Series (A-H),2020,8000000.0,nan,2018.0,Other
1408,DeHaat,Agritech,Series (A-H),2020,12000000.0,nan,2012.0,Technology
1409,Lido Learning,Edtech,Series (A-H),2020,7500000.0,Mumbai,Unknown,Technology
1410,Aye Finance,Fintech,Unknown,2020,23850000.0,Gurugram,2014.0,Technology
1411,Swiggy,Foodtech,Series (A-H),2020,43000000.0,Bangalore,2014.0,Technology
1412,Akna Medical,Healthtech,Unknown,2020,7000000.0,nan,2018.0,Technology
1413,Zomato,Foodtech,Unknown,2020,5000000.0,Gurugram,Unknown,Technology
1414,RaRa Delivery,Logistics,Early Stage,2020,800000.0,nan,Unknown,Autommotive & Transportation
1415,JusPay,Fintech,Series (A-H),2020,21600000.0,Bangalore,Unknown,Technology
1416,Obviously AI,Data Science,Unknown,2020,121526423.72,nan,2018.0,Other
1417,Fingpay,Fintech,Series (A-H),2020,3500000.0,Mumbai,2016.0,Technology
1418,Recko,SaaS,Series (A-H),2020,6000000.0,Bangalore,2017.0,Other
1419,Furlenco,Ecommerce,Unknown,2020,10000000.0,Bangalore,2012.0,E-Commerce & Marketplace
1420,Mera Cashier,Fintech,Unknown,2020,150000.0,Noida,2019.0,Technology
1421,Kitchens Centre,nan,Early Stage,2020,500000.0,Delhi,2019.0,Other
1422,Camp K12,Edtech,Early Stage,2020,4000000.0,Gurugram,Unknown,Technology
1423,MedGenome,Healthtech,Series (A-H),2020,55000000.0,Bangalore,2013.0,Technology
1424,Ergos,Agritech,Unknown,2020,4598000.0,Bangalore,Unknown,Technology
1425,Nykaa,Ecommerce,Unknown,2020,13137000.0,Mumbai,2012.0,E-Commerce & Marketplace
1426,Samadhan,Insurance,Early Stage,2020,121526423.72,Delhi,2018.0,Finance & Banking
1427,SaScan,Healthcare,Unknown,2020,121526423.72,Bangalore,Unknown,Healthcare
1428,Lido Learning,Edtech,Unknown,2020,3000000.0,Mumbai,Unknown,Technology
1429,CureFit,Health and Fitness,Series (A-H),2020,115000000.0,Bangalore,2016.0,Healthcare
1430,Nimesa,SaaS,Unknown,2020,121526423.72,Bangalore,2018.0,Other
1431,Design X,IoT,Early Stage,2020,200000.0,Noida,Unknown,Other
1432,Driftly Electric,Automobile,Unknown,2020,121526423.72,Bangalore,Unknown,Autommotive & Transportation
1433,Imstrong,Fitness,Early Stage,2020,400000.0,Bangalore,2019.0,Other
1434,Craftsvilla,Marketplace,Unknown,2020,3900000.0,Mumbai,Unknown,E-Commerce & Marketplace
1435,Rupifi,Fintech,Early Stage,2020,121526423.72,Bangalore,2020.0,Technology
1436,SnackAmor,Food,Early Stage,2020,121526423.72,Mumbai,Unknown,Food & Agriculture
1437,Zealthy,Healthtech,Early Stage,2020,121526423.72,Bangalore,2019.0,Technology
1438,CoinDCX,Fintech,Series (A-H),2020,3000000.0,nan,Unknown,Technology
1439,NuNu TV,Media,Unknown,2020,670000.0,nan,Unknown,Other
1440,QTalk,Technology,Early Stage,2020,1600000.0,Bangalore,Unknown,Technology
1441,Shadez,Interior & decor,Early Stage,2020,100000.0,Mumbai,2018.0,Other
1442,Excess2Sell,Ecommerce,Unknown,2020,1000000.0,Mumbai,Unknown,E-Commerce & Marketplace
1443,Stanplus,Healthtech,Early Stage,2020,1500000.0,Hyderabad,2016.0,Technology
1444,Pitstop,Automobile,Series (A-H),2020,2500000.0,Bangalore,Unknown,Autommotive & Transportation
1445,Univariety,Edtech,Unknown,2020,1100000.0,Hyderabad,2015.0,Technology
1446,Peel Works,SaaS,Series (A-H),2020,121526423.72,Mumbai,2010.0,Other
1447,CoreStack,Technology,Series (A-H),2020,8500000.0,Chennai,2016.0,Technology
1448,Vivriti Capital,Fintech,Series (A-H),2020,50000000.0,Chennai,2017.0,Technology
1449,Agnikul,Spacetech,Early Stage,2020,3148000.0,Chennai,Unknown,Technology
1450,Fintso,Fintech,Unknown,2020,2600000.0,nan,2020.0,Technology
1451,Khatabook,Fintech,Unknown,2020,121526423.72,Bangalore,Unknown,Technology
1452,Smart Coin,Fintech,Series (A-H),2020,7000000.0,nan,2015.0,Technology
1453,ZunRoof,Cleantech,Series (A-H),2020,3000000.0,Gurugram,2016.0,Technology
1454,Shop101,Social e-commerce,Series (A-H),2020,3900000.0,nan,2015.0,E-Commerce & Marketplace
1455,OM Bhakti,FMCG,Early Stage,2020,121526423.72,Bangalore,Unknown,Other
1456,Lal10,B2B,Unknown,2020,1100000.0,Uttar Pradesh,2016.0,Other
1457,Anaxee Digital Runner,Tech,Unknown,2020,121526423.72,Indore,2016.0,Technology
1458,CollegeKhabri,Edtech,Unknown,2020,121526423.72,Bhopal,2019.0,Technology
1459,Ola Electric,eMobility,Unknown,2020,1000000.0,Bangalore,Unknown,Other
1460,Multi Living,Real Estate,Unknown,2020,6000000.0,Mumbai,Unknown,Real Estate & Property
1461,FamPay,Fintech,Early Stage,2020,4700000.0,Bangalore,Unknown,Technology
1462,UnboxRobotics Labs,Automation tech,Early Stage,2020,500000.0,Bangalore,Unknown,Technology
1463,Karbon Card,Fintech,Early Stage,2020,2000000.0,Bangalore,Unknown,Technology
1464,Airmeet,Media & Networking,Unknown,2020,3000000.0,Bangalore,Unknown,Other
1465,Innerchef,Foodtech,Unknown,2020,1000000.0,Gurugram,Unknown,Technology
1466,Epigamia,FMCG,Series (A-H),2020,121526423.72,Mumbai,2015.0,Other
1467,StyleNook,Ecommerce,Unknown,2020,121526423.72,Mumbai,Unknown,E-Commerce & Marketplace
1468,Callido Learning,Edtech,Unknown,2020,121526423.72,Mumbai,Unknown,Technology
1469,Soxytoes,Ecommerce,Unknown,2020,121526423.72,Delhi,Unknown,E-Commerce & Marketplace
1470,F5,E-market,Early Stage,2020,121526423.72,Delhi,2018.0,E-Commerce & Marketplace
1471,Paper Boat,Food & Beverages,Unknown,2020,4049500.0,Bangalore,2013.0,Food & Agriculture
1472,Strata,Proptech,Early Stage,2020,1500000.0,Bangalore,2019.0,Technology
1473,Salesken,AI & Data science,Series (A-H),2020,8000000.0,Bangalore,Unknown,Other
1474,Arya,Agritech,Series (A-H),2020,6000000.0,Noida,Unknown,Technology
1475,Leap Finance,Fintech,Unknown,2020,5500000.0,Bangalore,Unknown,Technology
1476,Sleepy Owl,Beverages,Unknown,2020,121526423.72,Delhi,2016.0,Food & Agriculture
1477,Tricog,Healthtech,Series (A-H),2020,10500000.0,Bangalore,2015.0,Technology
1478,GogoBus,Travel tech,Unknown,2020,121526423.72,Delhi,Unknown,Technology
1479,Trell,Social e-commerce,Early Stage,2020,4000000.0,Bangalore,2016.0,E-Commerce & Marketplace
1480,Spaciya Consultants,Real Estate,Early Stage,2020,500000.0,Noida,Unknown,Real Estate & Property
1481,Bounce,Automotive and Rentals,Unknown,2020,6500000.0,Bangalore,2014.0,Autommotive & Transportation
1482,Neeman,Ecommerce,Early Stage,2020,1000000.0,nan,2017.0,E-Commerce & Marketplace
1483,Chqbook,Fintech,Series (A-H),2020,5000000.0,Gurugram,2017.0,Technology
1484,SMEcorner,Fintech,Series (A-H),2020,30000000.0,Mumbai,2014.0,Technology
1485,Oda Class,Edtech,Early Stage,2020,121526423.72,Bangalore,Unknown,Technology
1486,Spinny,E-tail,Series (A-H),2020,43700000.0,Haryana,2015.0,Other
1487,goStops,Accomodation,Unknown,2020,121526423.72,Delhi,2012.0,Other
1488,Umeed Housing,Fintech,Series (A-H),2020,23000000.0,Haryana,Unknown,Technology
1489,Vogo,Automotive,Series (A-H),2020,20000000.0,Bangalore,2016.0,Autommotive & Transportation
1490,Flick Stree,AI & Media,Series (A-H),2020,3000000.0,Mumbai,Unknown,Other
1491,Qure ai,Healthtech,Unknown,2020,16000000.0,Mumbai,2016.0,Technology
1492,MinionLabs,Machine Learning,Unknown,2020,121526423.72,Bangalore,Unknown,Other
1493,Josh Talks,Media,Early Stage,2020,1500000.0,Haryana,2015.0,Other
1494,PhoneParLoan,Fintech,Unknown,2020,121526423.72,Delhi,2015.0,Technology
1495,RailYatri,Travel,Unknown,2020,13800000.0,Noida,2011.0,Other
1496,AjnaLens,Deeptech,Early Stage,2020,1500000.0,Thane,2014.0,Technology
1497,Pepper,Content Marktplace,Early Stage,2020,306900.0,Mumbai,2017.0,Other
1498,Rupeek,Fintech,Unknown,2020,30000000.0,Bangalore,2015.0,Technology
1499,iMerit,IT,Series (A-H),2020,20000000.0,Kolkata,2012.0,Other
1500,BharatPe,Fintech,Series (A-H),2020,75000000.0,Delhi,2018.0,Technology
1501,Invideo,Visual Media,Unknown,2020,2500000.0,nan,Unknown,Other
1502,AvalonMeta,Edtech,Unknown,2020,420000.0,nan,2017.0,Technology
1503,Near Store,Ecommerce,Early Stage,2020,300000.0,Mumbai,Unknown,E-Commerce & Marketplace
1504,ElecTorq,Automobile,Unknown,2020,121526423.72,Delhi,Unknown,Autommotive & Transportation
1505,Prayaan Capital,Fintech,Early Stage,2020,1200000.0,Chennai,Unknown,Technology
1506,Sanfe,Hygiene,Early Stage,2020,1100000.0,Delhi,Unknown,Other
1507,Go Desi,Foodtech,Early Stage,2020,627300.0,Delhi,2018.0,Technology
1508,Swiggy,Foodtech,Series (A-H),2020,113000000.0,Bangalore,2014.0,Technology
1509,Whatfix,SaaS,Series (A-H),2020,32000000.0,Bangalore,2014.0,Other
1510,Unacademy,Edtech,Series (A-H),2020,110000000.0,Bangalore,2010.0,Technology
1511,Zvesta,Proptech,Unknown,2020,5500000.0,Gurugram,2015.0,Technology
1512,Dunzo,Logistics,Unknown,2020,11000000.0,Bangalore,2014.0,Autommotive & Transportation
1513,Digit Insurance,Insurtech,Unknown,2020,340000.0,Bangalore,Unknown,Technology
1514,Yolo,Transport,Early Stage,2020,600000.0,Gurugram,2019.0,Autommotive & Transportation
1515,SmartVizX,VR & SaaS,Early Stage,2020,1397000.0,nan,2015.0,Other
1516,MaxWholesale,Ecommerce,Series (A-H),2020,3000000.0,Delhi,2016.0,E-Commerce & Marketplace
1517,Carbon Clean,Cleantech,Unknown,2020,16000000.0,nan,2009.0,Technology
1518,Onsitego,Sales & Services,Series (A-H),2020,19000000.0,nan,Unknown,Consulting & Services
1519,Genius Corner,Edtech,Unknown,2020,250000.0,Noida,2014.0,Technology
1520,PlanetSpark,Edtech,Unknown,2020,448500.0,Gurugram,2016.0,Technology
1521,CamCom,AI & Deep learning,Unknown,2020,121526423.72,Bangalore,2017.0,Other
1522,Simsim,Social Commerce,Series (A-H),2020,8000000.0,Bangalore,Unknown,E-Commerce & Marketplace
1523,Shuttl,Transport,Series (A-H),2020,7975700.0,Delhi,2015.0,Autommotive & Transportation
1524,HooLiv,Housing & Rentals,Unknown,2020,121526423.72,Delhi,Unknown,Other
1525,ClassMonitor,Edtech,Unknown,2020,121526423.72,Indore,Unknown,Technology
1526,Friyey,Co-working,Unknown,2020,121526423.72,Pune,Unknown,Other
1527,Oga,Fitness,Unknown,2020,330000.0,Bangalore,Unknown,Other
1528,Big Basket,Estore,Unknown,2020,3500000.0,Bangalore,Unknown,Other
1529,CYFIRMA,SaaS,Series (A-H),2020,121526423.72,Bangalore,Unknown,Other
1530,Innoviti,nan,Unknown,2020,5000000.0,Bangalore,Unknown,Other
1531,Paytm money,Fintech,Unknown,2020,5600000.0,Bangalore,2010.0,Technology
1532,Vedantu,Edtech,Series (A-H),2020,24000000.0,Bangalore,Unknown,Technology
1533,Yap,Fintech,Unknown,2020,1402000.0,Chennai,Unknown,Technology
1534,Clover,Agritech,Series (A-H),2020,5500000.0,Bangalore,Unknown,Technology
1535,Nova Credit,Fintech,Series (A-H),2020,50000000.0,nan,Unknown,Technology
1536,CodingNinjas,Edtech,Series (A-H),2020,5200000.0,Delhi,2016.0,Technology
1537,Furlenco,Ecommerce,Series (A-H),2020,2200000.0,Bangalore,2011.0,E-Commerce & Marketplace
1538,Brick&Bolt,nan,Early Stage,2020,1500000.0,Bangalore,2018.0,Other
1539,HempStreet,Healthtech,Early Stage,2020,1000000.0,nan,2019.0,Technology
1540,MoEngage,Marketing,Series (A-H),2020,25000000.0,Bangalore,Unknown,E-Commerce & Marketplace
1541,Classplus,Edtech,Early Stage,2020,2500000.0,nan,2018.0,Technology
1542,Chaayos,Beverages,Unknown,2020,21500000.0,nan,2012.0,Food & Agriculture
1543,PetPooja,SaaS,Unknown,2020,2000000.0,Ahmedabad,2011.0,Other
1544,Altor,Tech,Unknown,2020,121526423.72,nan,Unknown,Technology
1545,Pepperfry,E-market,Series (A-H),2020,40000000.0,Mumbai,2013.0,E-Commerce & Marketplace
1546,FirstCry,E-market,Series (A-H),2020,296000000.0,Pune,2010.0,E-Commerce & Marketplace
1547,Byju,Edtech,Unknown,2020,200000000.0,nan,2011.0,Technology
1548,Waycool,Agritech,Series (A-H),2020,32000000.0,Chennai,2015.0,Technology
1549,WorkIndia,HR tech,Unknown,2020,6000000.0,nan,Unknown,Technology
1550,Qyuki,Media,Unknown,2020,3500000.0,Mumbai,Unknown,Other
1551,Leap India,Agritech,Series (A-H),2020,30000000.0,Coimbatore,Unknown,Technology
1552,Picxy,Media,Unknown,2020,250000.0,Hyderabad,Unknown,Other
1553,Krimanshi,Agritech,Unknown,2020,20000.0,Jodhpur,Unknown,Technology
1554,NEETprep,Edtech,Unknown,2020,121526423.72,Delhi,Unknown,Technology
1555,Dot Pvt. Ltd,Fintech,Early Stage,2020,8000000.0,Gurugram,Unknown,Technology
1556,Kuku FM,Media,Series (A-H),2020,5500000.0,Mumbai,Unknown,Other
1557,SuperMoney,Fintech,Early Stage,2020,1000000.0,Mumbai,2018.0,Technology
1558,Rebel Foods,Food tech,Unknown,2020,4900000.0,nan,Unknown,Technology
1559,AlphaVector,E tailor,Unknown,2020,121526423.72,Bangalore,2015.0,Other
1560,Fox Capital,Fintech,Unknown,2020,2500000.0,Jaipur,2019.0,Technology
1561,Tribe Theory,Accomodation,Unknown,2020,3500000.0,Bangalore,Unknown,Other
1562,Fleetx,SaaS,Series (A-H),2020,1402400.0,nan,Unknown,Other
1563,Embibe,Edtech,Unknown,2020,12618300.0,Mumbai,Unknown,Technology
1564,Entri,Edtech,Early Stage,2020,1400000.0,Kochi,2017.0,Technology
1565,Oye! Rickshaw,E-mobility,Series (A-H),2020,10000000.0,nan,Unknown,Other
1566,Seal Professional,Edtech,Early Stage,2020,121526423.72,Bangalore,2012.0,Technology
1567,Sprinng Foods,Food,Unknown,2020,121526423.72,Mumbai,Unknown,Food & Agriculture
1568,1MG,Healthtech,Unknown,2020,9900000.0,Gurugram,2015.0,Technology
1569,Aagey,Fintech,Unknown,2020,121526423.72,Bangalore,Unknown,Technology
1570,Doubtnut,Edtech,Series (A-H),2020,15000000.0,Gurugram,2017.0,Technology
1571,AdonMo,Ad-tech,Unknown,2020,3000000.0,Bangalore,2017.0,Technology
1572,RACEnergy,E-mobility,Early Stage,2020,121526423.72,nan,2018.0,Other
1573,BharatPe,Fintech,Unknown,2020,100000000.0,Delhi,2018.0,Technology
1574,Kisan Network,Agritech,Early Stage,2020,3000000.0,Gurugram,2015.0,Technology
1575,Vogo,Automotive,Series (A-H),2020,35000000.0,Bangalore,2016.0,Autommotive & Transportation
1576,Yolo,Transport,Early Stage,2020,600000.0,Gurugram,2019.0,Autommotive & Transportation
1577,Unotech,SaaS,Unknown,2020,2000000.0,Mumbai,2011.0,Other
1578,Zetwerk,Marketplace,Unknown,2020,2200000.0,Bangalore,2018.0,E-Commerce & Marketplace
1579,CureSkin,Healthtech,Unknown,2020,500000.0,Bangalore,2017.0,Technology
1580,WizKlub,Edtech,Early Stage,2020,982530.0,Bangalore,2018.0,Technology
1581,Interviewbit,Edtech,Series (A-H),2020,200000000.0,Pune,2014.0,Technology
1582,MoneyTap,Fintech,Series (A-H),2020,70185200.0,nan,2016.0,Technology
1583,Uniplatform Tech,SaaS,Unknown,2020,121526423.72,Delhi,2015.0,Other
1584,INdwealth,Fintech,Series (A-H),2020,12000000.0,Gurugram,Unknown,Technology
1585,Bizongo,Marketplace,Series (A-H),2020,30000000.0,Mumbai,2015.0,E-Commerce & Marketplace
1586,AppsFlyer,SaaS,Series (A-H),2020,210000000.0,Bangalore,2011.0,Other
1587,Digit Insurance,Insurtech,Unknown,2020,84000000.0,Bangalore,Unknown,Technology
1588,Livspace,Interior Design,Series (A-H),2020,60000000.0,Bangalore,2014.0,Other
1589,GetVantage,Fintech,Early Stage,2020,121526423.72,Mumbai,Unknown,Technology
1590,Konfinity,Edtech,Unknown,2020,121526423.72,Noida,2018.0,Technology
1591,Pine Labs,Fintech,Unknown,2020,121526423.72,Noida,Unknown,Technology
1592,Instoried,SaaS,Unknown,2020,121526423.72,Delhi,Unknown,Other
1593,Nupay,Neo-banking,Unknown,2020,121526423.72,Haryana,Unknown,Finance & Banking
1594,LogiNext,Transport Automation,Series (A-H),2020,39000000.0,nan,Unknown,Autommotive & Transportation
1595,Samosa Singh,Food,Series (A-H),2020,2700000.0,Bangalore,2016.0,Food & Agriculture
1596,Crysta,Healthtech,Early Stage,2020,1403400.0,Delhi,2018.0,Technology
1597,Eupheus Learning,Edtech,Series (A-H),2020,4300000.0,New Delhi,2017.0,Technology
1598,Bounce,Automotive and Rentals,Series (A-H),2020,105000000.0,Bangalore,2014.0,Autommotive & Transportation
1599,Park+,Techonology,Unknown,2020,11000000.0,nan,Unknown,Technology
1600,Goodmylk,Dairy,Early Stage,2020,400000.0,Bangalore,2017.0,Other
1601,SmartKarrot,SaaS,Unknown,2020,1000000.0,nan,2019.0,Other
1602,Skylo,IoT,Series (A-H),2020,103000000.0,nan,2017.0,Other
1603,Tea Trunk,Beverage,Unknown,2020,220000.0,Goa,2013.0,Food & Agriculture
1604,Zoomcar,Transport & Rentals,Series (A-H),2020,30000000.0,Bangalore,2013.0,Autommotive & Transportation
1605,Mera Cashier,Fintech,Early Stage,2020,250000.0,Noida,2019.0,Technology
1606,Samya AI,SaaS,Early Stage,2020,6000000.0,nan,2019.0,Other
1607,Kristal AI,AI,Series (A-H),2020,6000000.0,nan,2016.0,Other
1608,Invento Robotics,AI Robotics,Early Stage,2020,281300.0,nan,Unknown,Other
1609,Zimyo,HR tech,Unknown,2020,121526423.72,Gurugram,2018.0,Technology
1610,Sabse Sasta Dukaan,Pharmaceutical,Unknown,2020,121526423.72,Kolkata,2016.0,Other
1611,Fitphilia,Healthtech,Unknown,2020,121526423.72,Mumbai,Unknown,Technology
1612,Medicus,Healthtech,Unknown,2020,12700.0,Mumbai,Unknown,Technology
1613,Monech,Fintech,Early Stage,2020,12700.0,Mumbai,Unknown,Technology
1614,Teach Us,Edtech,Early Stage,2020,12700.0,nan,Unknown,Technology
1615,Dealberg,B2B marketplace,Unknown,2020,121526423.72,Bangalore,Unknown,E-Commerce & Marketplace
1616,Phenom People,HR tech,Series (A-H),2020,30000000.0,nan,2010.0,Technology
1617,Extra Edge,Edtech,Early Stage,2020,700000.0,Pune,Unknown,Technology
1618,Capital Quotient,Fintech,Unknown,2020,600000.0,Bangalore,2016.0,Technology
1619,Karfa,Ecommerce,Early Stage,2020,25000.0,Delhi,Unknown,E-Commerce & Marketplace
1620,Gamerji,Gaming,Unknown,2020,400000.0,nan,2019.0,Other
1621,Bounce,Automotive and Rentals,Series (A-H),2020,97500000.0,Bangalore,2014.0,Autommotive & Transportation
1622,Zinier,Automation,Series (A-H),2020,90000000.0,Bangalore,2015.0,Autommotive & Transportation
1623,ProEves,Preschool Daycare,Early Stage,2020,507000.0,Delhi,2016.0,Other
1624,Toddle,nan,Unknown,2020,121526423.72,Bangalore,Unknown,Other
1625,Aesthetic Nutrition,Food diet,Early Stage,2020,121526423.72,nan,2018.0,Food & Agriculture
1626,Capital Float,Fintech,Unknown,2020,15000000.0,Bangalore,2013.0,Technology
1627,Ninjacart,B2B Agritech,Series (A-H),2020,10000000.0,Bangalore,2015.0,Technology
1628,TechnifyBiz,B2B Agritech,Early Stage,2020,2000000.0,nan,2017.0,Technology
1629,Wysh,E-connect,Series (A-H),2020,2000000.0,Hyderabad,2019.0,Other
1630,Keito,AI,Early Stage,2020,160000.0,Pune,2016.0,Other
1631,Klub,Fintech,Early Stage,2020,2000000.0,nan,2019.0,Technology
1632,Aadhar,Ecommerce,Early Stage,2020,121526423.72,Mumbai,2017.0,E-Commerce & Marketplace
1633,IncubateHub,Tech hub,Unknown,2020,121526423.72,Bangalore,Unknown,Technology
1634,Rage Coffee,FMCG,Unknown,2020,121526423.72,Delhi,Unknown,Other
1635,Skilancer,Technology,Unknown,2020,121526423.72,Noida,Unknown,Technology
1636,Harappa Education,Edtech,Unknown,2020,121526423.72,New Delhi,Unknown,Technology
1637,Rheo,Entertainment,Unknown,2020,2000000.0,nan,Unknown,Other
1638,Axio Biosolutions,Medtech,Series (A-H),2020,5200000.0,Bangalore,Unknown,Technology
1639,Techbooze,Consultancy,Series (A-H),2020,15000000.0,nan,Unknown,Consulting & Services
1640,PayMart,Fintech,Unknown,2020,121526423.72,Chandigarh,2015.0,Technology
1641,Testbook,Edtech,Series (A-H),2020,8400000.0,nan,Unknown,Technology
1642,FabAlley,Ecommerce,Unknown,2020,1100000.0,Noida,2012.0,E-Commerce & Marketplace
1643,HaikuJAM,nan,Unknown,2020,3400000.0,nan,Unknown,Other
1644,Mamaearth,Ecommerce,Series (A-H),2020,18300000.0,nan,Unknown,E-Commerce & Marketplace
1645,Rentomojo,Rental,Unknown,2020,2000000.0,nan,2014.0,Other
1646,Zomato,Foodtech,Unknown,2020,150000000.0,nan,Unknown,Technology
1647,Byju,Edtech,Unknown,2020,200000000.0,nan,2011.0,Technology
1648,Generico,Pharmacy,Unknown,2020,1400000.0,Mumbai,Unknown,Other
1649,HighRadius,SaaS,Series (A-H),2020,125000000.0,Hyderabad,2016.0,Other
1650,Chai Kings,Beverage,Unknown,2020,1000000.0,Chennai,Unknown,Food & Agriculture
1651,Rivigo,Logistics,Series (A-H),2020,3400000.0,Gurugram,2014.0,Autommotive & Transportation
1652,BuildPan,SaaS,Early Stage,2020,121526423.72,Indore,2019.0,Other
1653,Shiksha,Edtech,Unknown,2020,181000.0,nan,2008.0,Technology
1654,Super Surfaces,Deisgning,Series (A-H),2020,500000.0,Hyderabad,Unknown,Other
1655,Quicko,Taxation,Unknown,2020,280000.0,Ahmedabad,Unknown,Other
1656,Satin Creditcare,Fintech,Unknown,2020,15000000.0,Gurugram,Unknown,Technology
1657,XpressBees,Logistics,Unknown,2020,10000000.0,nan,2015.0,Autommotive & Transportation
1658,FarmERP,Agritech,Series (A-H),2020,121526423.72,Pune,2001.0,Technology
1659,Wealth Bucket,Fintech,Unknown,2020,3000000.0,nan,2018.0,Technology
1660,GoMechanic,Automobile Technology,Series (A-H),2020,14700000.0,Delhi,2016.0,Technology
1661,Fashor,Fashion,Early Stage,2020,1000000.0,Chennai,2017.0,Other
1662,Leverage Edu,Edtech,Unknown,2020,1500000.0,Delhi,Unknown,Technology
1663,EpiFi,Fintech,Early Stage,2020,13200000.0,nan,Unknown,Technology
1664,Purplle,Cosmetics,Unknown,2020,8000000.0,Mumbai,2012.0,Other
1665,Shuttl,Transport,Series (A-H),2020,8043000.0,Delhi,2015.0,Autommotive & Transportation
1666,Pando,Logitech,Series (A-H),2020,9000000.0,Chennai,2017.0,Technology
1667,Unbox Robotics,AI startup,Early Stage,2021,1200000.0,Bangalore,2019.0,Other
1668,upGrad,EdTech,Unknown,2021,120000000.0,Mumbai,2015.0,Technology
1669,Lead School,EdTech,Series (A-H),2021,30000000.0,Mumbai,2012.0,Technology
1670,Bizongo,B2B E-commerce,Series (A-H),2021,51000000.0,Mumbai,2015.0,E-Commerce & Marketplace
1671,FypMoney,FinTech,Early Stage,2021,2000000.0,Gurugram,2021.0,Technology
1672,Urban Company,Home services,Unknown,2021,188000000.0,New Delhi,2014.0,Consulting & Services
1673,Comofi Medtech,HealthTech,Unknown,2021,200000.0,Bangalore,2018.0,Technology
1674,Qube Health,HealthTech,Early Stage,2021,121526423.72,Mumbai,2016.0,Technology
1675,Vitra.ai,Tech Startup,Unknown,2021,121526423.72,Bangalore,2020.0,Technology
1676,Taikee,E-commerce,Unknown,2021,1000000.0,Mumbai,2010.0,E-Commerce & Marketplace
1677,Fitterfly,HealthTech,Early Stage,2021,3000000.0,Mumbai,2016.0,Technology
1678,FreeStand,B2B service,Unknown,2021,100000.0,New Delhi,2017.0,Other
1679,MyDentalPlan,Helathcare,Early Stage,2021,700000.0,Bangalore,2014.0,Other
1680,Freyr Energy,Renewable Energy,Unknown,2021,2000000.0,Hyderabad,2014.0,Other
1681,DealShare,E-commerce,Unknown,2021,9000000.0,Jaipur,2018.0,E-Commerce & Marketplace
1682,Tessolve,Electronics,Unknown,2021,40000000.0,Bangalore,1993.0,Other
1683,Smart Joules,Renewable Energy,Unknown,2021,49000000.0,New Delhi,2014.0,Other
1684,ORAI,IT startup,Early Stage,2021,400000.0,Bangalore,2020.0,Other
1685,ixamBee,EdTech,Early Stage,2021,300000.0,New Delhi,2016.0,Technology
